Species,LKMN002-3-94_S293,LKMN002-3-95_S294
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Natronomonas;Natronomonas pharaonis,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Natronomonas;Natronomonas sp. C90,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Natronomonas;Natronomonas sp. YPL13,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;Halalkalicoccus jeotgali,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halanaeroarchaeum;Halanaeroarchaeum sulfurireducens,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halarchaeum;Halarchaeum sp. CBA1220,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium hubeiense,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium salinarum,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium sp. DL1,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halodesulfurarchaeum;Halodesulfurarchaeum formicicum,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorussus;Halorussus sp. RC-68,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorussus;Halorussus sp. ZS-3,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halostella;Halostella pelagica,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Salarchaeum;Salarchaeum sp. JOR-1,0,0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;Salinibaculum;Salinibaculum litoreum,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halobellus;Halobellus limi,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax alexandrinus,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax gibbonsii,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax mediterranei,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax volcanii,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halogeometricum;Halogeometricum borinquense,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloplanus;Haloplanus aerogenes,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloplanus;Haloplanus rallus,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloplanus;Haloplanus rubicundus,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloprofundus;Haloprofundus sp. MHR1,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloquadratum;Haloquadratum walsbyi,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Candidatus Halobonum;Halobonum sp. Gai3-2,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Candidatus Halobonum;Halobonum sp. NJ-3-1,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halolamina;Halolamina sp. CBA1230,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halopenitus;Halopenitus persicus,0,0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum ezzemoulense,0,0
